%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data.data
1692649629752693653,784,1692649629752693653,,1063.0
1692649629755889892,785,1692649629755889892,,-288.0
1692649629797778844,786,1692649629797778844,,4299.0
1692649629799830675,787,1692649629799830675,,1063.0
1692649629801504611,788,1692649629801504611,,-285.0
1692649629823693752,789,1692649629823693752,,4299.0
1692649629825402021,790,1692649629825402021,,1063.0
1692649629846832990,791,1692649629846832990,,-288.0
1692649629893112421,792,1692649629893112421,,4298.0
1692649629895945787,793,1692649629895945787,,1063.0
1692649629898542881,794,1692649629898542881,,4299.0
1692649629918165683,795,1692649629918165683,,-288.0
1692649629966303825,796,1692649629966303825,,4298.0
1692649629969382762,797,1692649629969382762,,1604.0
1692649629988916158,798,1692649629988916158,,-291.0
1692649630033928394,799,1692649630033928394,,4298.0
1692649630036629676,800,1692649630036629676,,1063.0
1692649630038765668,801,1692649630038765668,,4298.0
1692649630058729171,802,1692649630058729171,,-289.0
1692649630105027675,803,1692649630105027675,,4299.0
1692649630107627868,804,1692649630107627868,,1063.0
1692649630110611677,805,1692649630110611677,,4299.0
1692649630129740238,806,1692649630129740238,,-286.0
1692649630174234151,807,1692649630174234151,,4299.0
1692649630177023172,808,1692649630177023172,,1063.0
1692649630179932117,809,1692649630179932117,,4299.0
1692649630200289964,810,1692649630200289964,,-297.0
1692649630246744155,811,1692649630246744155,,4299.0
1692649630261050224,812,1692649630261050224,,1063.0
1692649630265206813,813,1692649630265206813,,4299.0
1692649630271364927,814,1692649630271364927,,-289.0
1692649630314280271,815,1692649630314280271,,4299.0
1692649630317824602,816,1692649630317824602,,1063.0
1692649630320586442,817,1692649630320586442,,4299.0
1692649630341757774,818,1692649630341757774,,-289.0
1692649630388704776,819,1692649630388704776,,4298.0
1692649630391994953,820,1692649630391994953,,1063.0
1692649630394300222,821,1692649630394300222,,4299.0
1692649630411301136,822,1692649630411301136,,-287.0
1692649630454242229,823,1692649630454242229,,4299.0
1692649630457334518,824,1692649630457334518,,1063.0
1692649630460399866,825,1692649630460399866,,-288.0
1692649630503513336,826,1692649630503513336,,4299.0
1692649630507143259,827,1692649630507143259,,1063.0
1692649630510702371,828,1692649630510702371,,4298.0
1692649630529431581,829,1692649630529431581,,-295.0
1692649630574366569,830,1692649630574366569,,4298.0
1692649630578589916,831,1692649630578589916,,1063.0
1692649630581273794,832,1692649630581273794,,4298.0
1692649630599595785,833,1692649630599595785,,-296.0
1692649630645955324,834,1692649630645955324,,4299.0
1692649630648317337,835,1692649630648317337,,1063.0
1692649630650789260,836,1692649630650789260,,4298.0
1692649630670273780,837,1692649630670273780,,-291.0
1692649630718404769,838,1692649630718404769,,4298.0
1692649630721163511,839,1692649630721163511,,1604.0
1692649630740687370,840,1692649630740687370,,-287.0
1692649630786335945,841,1692649630786335945,,4298.0
1692649630788729906,842,1692649630788729906,,1063.0
1692649630791106462,843,1692649630791106462,,4299.0
1692649630811743259,844,1692649630811743259,,-289.0
1692649630854644775,845,1692649630854644775,,4299.0
1692649630857682704,846,1692649630857682704,,1063.0
1692649630860339641,847,1692649630860339641,,-290.0
1692649630906142950,848,1692649630906142950,,4299.0
1692649630908613204,849,1692649630908613204,,1604.0
1692649630928611040,850,1692649630928611040,,-283.0
1692649630969469785,851,1692649630969469785,,4299.0
1692649630971519708,852,1692649630971519708,,1063.0
1692649630975104331,853,1692649630975104331,,-286.0
1692649631018584012,854,1692649631018584012,,4298.0
1692649631021512269,855,1692649631021512269,,1063.0
1692649631024028301,856,1692649631024028301,,-287.0
1692649631065812826,857,1692649631065812826,,4298.0
1692649631067658901,858,1692649631067658901,,1063.0
1692649631069377183,859,1692649631069377183,,-283.0
1692649631117669582,860,1692649631117669582,,4299.0
1692649631120013475,861,1692649631120013475,,1604.0
1692649631140341997,862,1692649631140341997,,-287.0
1692649631186225891,863,1692649631186225891,,4298.0
1692649631189392805,864,1692649631189392805,,1064.0
1692649631191756486,865,1692649631191756486,,4298.0
1692649631210423231,866,1692649631210423231,,-296.0
1692649631254108428,867,1692649631254108428,,4299.0
1692649631257428646,868,1692649631257428646,,1064.0
1692649631259954452,869,1692649631259954452,,-291.0
1692649631301333665,870,1692649631301333665,,4298.0
1692649631303502798,871,1692649631303502798,,1063.0
1692649631305794477,872,1692649631305794477,,-290.0
1692649631349006891,873,1692649631349006891,,4298.0
1692649631351075410,874,1692649631351075410,,1063.0
1692649631353064775,875,1692649631353064775,,-285.0
1692649631374964237,876,1692649631374964237,,4298.0
