,Torque,Angle,Muscle 0,Muscle 1,Muscle 2,Muscle 3
274,-3.3320000000000003,0.175,4597.104665871537,4170.217024806406,4981.443079967769,4600.944586491225
275,-3.3200000000000003,0.175,4597.320759564473,4169.396436110039,4980.667348858585,4589.488001036577
276,-3.204,0.175,4597.479279170211,4168.581822628262,4979.867982206246,4580.239053016765
277,-3.3120000000000003,0.175,4597.57949877973,4167.772995141253,4979.0445367889315,4573.977894887116
278,-3.3040000000000003,0.175,4597.620726226763,4166.969767332773,4978.196582801235,4570.8808742172205
279,-3.3040000000000003,0.175,4597.602303685582,4166.171956195992,4977.32370461374,4570.542154457477
280,-3.3040000000000003,0.175,4597.523608243136,4165.379382439518,4976.4255015218605,4572.098474861587
281,-3.3040000000000003,0.175,4597.384052444736,4164.591870892949,4975.501588482918,4574.429769346362
282,-3.3040000000000003,0.175,4597.1830848125455,4163.809250911218,4974.551596840401,4576.39622336155
283,-3.196,0.175,4596.920190336142,4163.031356776936,4973.575175034347,4577.067464568035
284,-3.196,0.175,4596.594890934491,4162.25802809992,4972.571989296777,4575.902581616005
285,-3.3040000000000003,0.175,4596.206745888703,4161.489110213041,4971.541724331071,4572.849799535585
286,-3.3040000000000003,0.175,4595.755352244983,4160.724454563529,4970.484083974185,4568.34995480128
287,-3.3040000000000003,0.175,4595.240345187228,4159.96391909886,4969.398791840562,4563.245607288816
288,-3.3040000000000003,0.175,4594.66139837876,4159.207368646373,4968.285591946594,4558.614554712737
289,-3.3040000000000003,0.175,4594.018224272731,4158.4546752857805,4967.144249314458,4555.559736489164
290,-3.3080000000000003,0.175,4593.310574390736,4157.705718713762,4965.974550554167,4554.994793531163
291,-3.3080000000000003,0.175,4592.538239569256,4156.960386599853,4964.776304422658,4557.464730636893
292,-3.3080000000000003,0.175,4591.70105017352,4156.218574932911,4963.549342358742,4563.034306800629
293,-3.3080000000000003,0.175,4590.798876278473,4155.480188357412,4962.29351899278,4571.264268690376
294,-3.3120000000000003,0.175,4589.831627816511,4154.745140498916,4961.00871262995,4581.279622570715
295,-3.3160000000000003,0.175,4588.799254691735,4154.013354278007,4959.694825706026,4591.9176450475
296,-3.208,0.175,4587.70174686046,4153.284762212053,4958.351785214598,4601.929155861972
297,-3.3160000000000003,0.175,4586.539134377801,4152.559306704145,4956.979543104748,4610.197167339266
298,-3.3160000000000003,0.175,4585.311487410162,4151.836940318559,4955.5780766482,4615.933978339174
299,-3.3160000000000003,0.175,4584.018916213523,4151.117626042109,4954.147388775043,4618.821569785328
300,-3.3160000000000003,0.175,4582.661571077443,4150.4013375307495,4952.687508377152,4619.070072976145
301,-3.3160000000000003,0.175,4581.239642234752,4149.688059340811,4951.198490578506,4617.383362386713
302,-3.3120000000000003,0.175,4579.753359736937,4148.977787144252,4949.680416971603,4614.83698021316
303,-3.3080000000000003,0.175,4578.202993295286,4148.270527927343,4948.133395819271,4612.688841282693
